,date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,High,Low,Open,Close,Volume,Adj Close
666,2018-08-24,0.62,-0.1,-0.51,-0.32,-0.19,0.006999999999999999,0.258200063121515,272.80999755859375,267.0,267.17999267578125,272.2200012207031,13287800.0,270.45660400390625
667,2018-08-27,0.74,-0.62,-0.11,-0.2,-0.35,0.006999999999999999,0.219148302632111,278.8999938964844,272.1499938964844,273.4200134277344,275.8999938964844,12644400.0,274.11279296875
668,2018-08-28,-0.01,-0.13,-0.29,0.12,-0.05,0.006999999999999999,0.20425010334027,276.5799865722656,269.5299987792969,275.6600036621094,274.3800048828125,11884600.0,272.6025695800781
669,2018-08-29,0.56,-0.14,-0.59,-0.15,-0.3,0.006999999999999999,0.188313113953759,279.5,273.0799865722656,273.9200134277344,278.489990234375,10502700.0,276.8373107910156
670,2018-08-30,-0.41,0.23,-0.43,-0.24,-0.12,0.006999999999999999,0.171335427305075,281.7200012207031,276.32000732421875,277.2300109863281,277.80999755859375,8665200.0,276.1613464355469
671,2018-08-31,0.08,0.45,-0.43,0.18,-0.14,0.006999999999999999,0.15331501168726,281.20001220703125,276.6000061035156,277.0,280.67999267578125,7664800.0,279.01434326171875
672,2018-09-04,-0.11,-0.32,-0.08,-0.01,-0.16,0.008,0.0787830328629171,285.2200012207031,279.0,280.1499938964844,283.70001220703125,9793000.0,282.0163879394531
673,2018-09-05,-0.41,-0.04,0.7,0.45,0.57,0.008,0.0616393567520773,284.4200134277344,275.1499938964844,282.989990234375,278.4200134277344,9828900.0,276.76776123046875
674,2018-09-06,-0.44,-0.39,-0.12,0.43,0.33,0.008,0.0451471301692461,277.8599853515625,271.3900146484375,277.760009765625,272.7200012207031,8069900.0,271.1015625
675,2018-09-07,-0.18,0.07,-0.21,0.02,0.02,0.008,0.0293043795021046,276.92999267578125,267.19000244140625,269.0,271.8599853515625,7385500.0,270.2466735839844
676,2018-09-10,0.23,0.07,-0.33,0.04,-0.25,0.008,-0.0142395433814132,275.92999267578125,271.0,272.7699890136719,274.7300109863281,5503500.0,273.0996398925781
677,2018-09-11,0.37,-0.33,-0.21,-0.11,-0.38,0.008,-0.0273723044242116,276.3999938964844,272.0199890136719,272.8599853515625,272.79998779296875,6077800.0,271.1810607910156
678,2018-09-12,0.03,-0.13,-0.06,0.03,0.54,0.008,-0.0398400548658049,271.9800109863281,261.9200134277344,271.19000244140625,268.20001220703125,10477300.0,266.6083679199219
679,2018-09-13,0.45,-0.49,-0.36,0.08,-0.03,0.008,-0.0516442867124869,275.0,270.1600036621094,270.8599853515625,271.3399963378906,7638400.0,269.7297668457031
680,2018-09-14,0.12,0.31,0.25,-0.12,-0.03,0.008,-0.0627864125677813,279.1000061035156,273.5,274.989990234375,276.42999267578125,9673400.0,274.78955078125
681,2018-09-17,-0.71,-0.36,0.92,0.29,0.73,0.008,-0.0921712604296284,277.3800048828125,273.1499938964844,275.3999938964844,273.92999267578125,5138200.0,272.3043518066406
682,2018-09-18,0.57,0.03,-0.53,-0.25,-0.23,0.008,-0.100694303698007,278.239990234375,270.75,274.0899963378906,271.0199890136719,7488000.0,269.41162109375
683,2018-09-19,0.06,-0.5,1.17,-0.49,-0.03,0.008,-0.108659750460541,272.70001220703125,268.25,270.2699890136719,271.9800109863281,5621500.0,270.365966796875
684,2018-09-20,0.77,0.28,-0.18,0.02,-0.08,0.008,-0.116068553936237,268.760009765625,264.1000061035156,267.04998779296875,266.2799987792969,10764600.0,264.69976806640625
685,2018-09-21,-0.13,-0.43,0.39,0.22,0.66,0.008,-0.12292160073102,268.6000061035156,262.1099853515625,266.760009765625,263.45001220703125,10878200.0,261.8865966796875
686,2018-09-24,-0.31,-0.06,-0.88,-0.42,-0.28,0.008,-0.139973598125305,265.8399963378906,258.67999267578125,262.20001220703125,265.70001220703125,7347800.0,264.12322998046875
687,2018-09-25,-0.05,0.21,-0.44,-0.33,-0.07,0.008,-0.14424483450696,269.4200134277344,264.9100036621094,268.3699951171875,268.4100036621094,7009700.0,266.817138671875
688,2018-09-26,-0.4,-0.48,-0.59,0.51,0.1,0.008,-0.147777858545376,270.239990234375,266.2799987792969,268.6099853515625,266.9200134277344,6713700.0,265.33599853515625
689,2018-09-27,0.27,-0.34,-0.57,0.1,-0.34,0.008,-0.150573093034876,269.20001220703125,266.1300048828125,268.3399963378906,267.3999938964844,5360700.0,265.8131408691406
690,2018-09-28,-0.03,0.35,-0.19,0.13,0.18,0.008,-0.152630872479064,281.9200134277344,271.6000061035156,272.7300109863281,281.0199890136719,17734900.0,279.3523254394531
691,2018-10-01,0.16,-1.62,0.38,-0.16,0.06,0.008,-0.154386857538288,292.05999755859375,282.6000061035156,284.1600036621094,289.3599853515625,15551500.0,287.642822265625
692,2018-10-02,-0.21,-0.95,0.67,0.11,0.36,0.008,-0.154532218954357,292.760009765625,285.5799865722656,288.25,286.4800109863281,9599100.0,284.7799072265625
693,2018-10-03,0.2,0.91,0.43,-0.36,-0.21,0.008,-0.15466665107631,289.6199951171875,282.5299987792969,289.32000732421875,286.7300109863281,8013800.0,285.02838134765625
694,2018-10-04,-0.93,-0.81,1.55,0.12,0.76,0.008,-0.154790169991537,286.25,276.17999267578125,285.2699890136719,279.2900085449219,9780500.0,277.6325988769531
695,2018-10-05,-0.64,-0.38,0.4,-0.37,0.41,0.008,-0.154902790481455,280.79998779296875,267.5400085449219,278.2900085449219,269.8599853515625,10665900.0,268.2585144042969
696,2018-10-08,-0.17,-0.23,1.19,0.49,0.64,0.008,-0.154900398119031,271.1600036621094,260.0799865722656,266.5,265.7699890136719,10215300.0,264.1927795410156
